city,year,month,temp_mean,precip_sum
edinburgh,2020,1,6.512903225806451,75.1
edinburgh,2020,2,4.713793103448276,144.9
edinburgh,2020,3,5.509677419354839,74.8
edinburgh,2020,4,8.19,11.3
edinburgh,2020,5,11.5,38.5
edinburgh,2020,6,13.156666666666666,86.1
edinburgh,2020,7,14.035483870967743,94.9
edinburgh,2020,8,14.5,125.0
edinburgh,2020,9,12.533333333333333,48.3
edinburgh,2020,10,9.435483870967742,147.7
edinburgh,2020,11,8.136666666666667,69.1
edinburgh,2020,12,4.935483870967742,121.7
edinburgh,2021,1,2.351612903225807,123.5
edinburgh,2021,2,4.460714285714286,91.4
edinburgh,2021,3,6.696774193548387,52.1
edinburgh,2021,4,5.67,21.7
edinburgh,2021,5,8.803225806451612,127.5
edinburgh,2021,6,14.21,43.8
edinburgh,2021,7,16.032258064516128,72.2
edinburgh,2021,8,14.780645161290321,83.0
edinburgh,2021,9,14.493333333333334,84.4
edinburgh,2021,10,11.22258064516129,137.1
edinburgh,2021,11,7.743333333333334,49.9
edinburgh,2021,12,5.27741935483871,77.2
edinburgh,2022,1,5.790322580645161,28.7
edinburgh,2022,2,5.675,119.1
edinburgh,2022,3,6.590322580645162,46.2
edinburgh,2022,4,7.866666666666666,51.1
edinburgh,2022,5,11.725806451612904,61.1
edinburgh,2022,6,13.906666666666666,53.1
edinburgh,2022,7,16.438709677419357,61.4
edinburgh,2022,8,15.696774193548388,55.699999999999996
edinburgh,2022,9,13.453333333333335,101.6
edinburgh,2022,10,11.59032258064516,104.3
edinburgh,2022,11,8.726666666666667,100.9
edinburgh,2022,12,3.5612903225806454,101.60000000000001
edinburgh,2023,1,5.070967741935483,66.6
edinburgh,2023,2,6.692857142857143,41.7
edinburgh,2023,3,5.461290322580646,103.5
edinburgh,2023,4,7.5633333333333335,68.7
edinburgh,2023,5,11.3,47.800000000000004
edinburgh,2023,6,15.0,49.9
edinburgh,2023,7,14.925806451612903,142.9
edinburgh,2023,8,15.148387096774194,70.3
edinburgh,2023,9,14.403333333333334,114.5
edinburgh,2023,10,10.451612903225806,177.5
edinburgh,2023,11,6.29,101.6
edinburgh,2023,12,5.754838709677419,148.2
edinburgh,2024,1,4.325806451612903,85.10000000000001
edinburgh,2024,2,6.213793103448276,73.1
edinburgh,2024,3,6.338709677419355,100.0
edinburgh,2024,4,7.986666666666666,129.7
edinburgh,2024,5,12.641935483870968,169.5
edinburgh,2024,6,12.9,60.8
edinburgh,2024,7,14.422580645161291,96.2
edinburgh,2024,8,15.329032258064515,97.3
edinburgh,2024,9,11.993333333333334,54.800000000000004
edinburgh,2024,10,10.729032258064517,98.8
edinburgh,2024,11,7.016666666666667,38.6
edinburgh,2024,12,6.870967741935484,103.2
london,2020,1,6.674193548387097,59.4
london,2020,2,7.086206896551724,102.7
london,2020,3,6.858064516129032,45.4
london,2020,4,10.956666666666667,34.4
london,2020,5,13.729032258064517,4.7
london,2020,6,16.103333333333335,80.0
london,2020,7,17.39032258064516,46.8
london,2020,8,19.22258064516129,74.4
london,2020,9,15.403333333333334,25.5
london,2020,10,11.212903225806452,158.7
london,2020,11,9.270000000000001,47.9
london,2020,12,5.703225806451614,84.9
london,2021,1,3.5999999999999996,116.4
london,2021,2,5.292857142857143,40.6
london,2021,3,7.083870967741936,32.8
london,2021,4,6.606666666666667,10.9
london,2021,5,10.86774193548387,86.3
london,2021,6,16.896666666666665,99.0
london,2021,7,18.061290322580643,87.1
london,2021,8,16.54516129032258,55.5
london,2021,9,16.486666666666668,47.0
london,2021,10,12.47741935483871,122.5
london,2021,11,7.6066666666666665,10.700000000000001
london,2021,12,7.151612903225806,74.2
london,2022,1,4.329032258064516,19.0
london,2022,2,7.392857142857143,58.3
london,2022,3,7.993548387096775,45.699999999999996
london,2022,4,9.78,22.3
london,2022,5,13.825806451612904,88.3
london,2022,6,16.36,62.9
london,2022,7,20.190322580645162,14.0
london,2022,8,20.14516129032258,28.6
london,2022,9,15.156666666666666,50.6
london,2022,10,13.703225806451613,78.5
london,2022,11,9.78,139.3
london,2022,12,4.248387096774193,55.6
london,2023,1,5.038709677419354,58.300000000000004
london,2023,2,5.9750000000000005,11.9
london,2023,3,7.425806451612903,98.8
london,2023,4,8.773333333333333,71.2
london,2023,5,12.641935483870967,36.6
london,2023,6,18.09,39.5
london,2023,7,17.4,90.0
london,2023,8,17.325806451612905,55.9
london,2023,9,18.203333333333333,57.699999999999996
london,2023,10,13.187096774193549,91.9
london,2023,11,7.67,89.89999999999999
london,2023,12,7.65483870967742,79.0
london,2024,1,4.990322580645162,67.5
london,2024,2,8.448275862068966,109.8
london,2024,3,8.458064516129031,83.1
london,2024,4,10.066666666666666,63.6
london,2024,5,14.025806451612903,74.5
london,2024,6,15.496666666666666,24.8
london,2024,7,17.529032258064515,85.1
london,2024,8,18.593548387096774,29.2
london,2024,9,15.0,169.3
london,2024,10,12.119354838709677,83.2
london,2024,11,8.203333333333333,62.7
london,2024,12,7.632258064516129,40.8
manchester,2020,1,6.416129032258064,76.0
manchester,2020,2,5.927586206896552,199.39999999999998
manchester,2020,3,6.338709677419355,67.7
manchester,2020,4,10.153333333333334,27.1
manchester,2020,5,12.580645161290322,13.6
manchester,2020,6,15.236666666666668,166.2
manchester,2020,7,14.938709677419356,123.7
manchester,2020,8,16.80322580645161,148.0
manchester,2020,9,13.486666666666668,62.3
manchester,2020,10,10.04516129032258,188.8
manchester,2020,11,8.856666666666666,90.5
manchester,2020,12,4.983870967741935,119.2
manchester,2021,1,3.235483870967742,167.9
manchester,2021,2,5.135714285714286,84.0
manchester,2021,3,6.916129032258064,74.7
manchester,2021,4,6.473333333333333,13.9
manchester,2021,5,9.970967741935485,137.1
manchester,2021,6,15.716666666666667,36.3
manchester,2021,7,17.51290322580645,108.4
manchester,2021,8,15.580645161290322,89.7
manchester,2021,9,15.629999999999999,71.3
manchester,2021,10,12.151612903225805,116.9
manchester,2021,11,7.316666666666666,83.3
manchester,2021,12,6.106451612903226,135.3
manchester,2022,1,4.683870967741935,61.4
manchester,2022,2,6.7,184.2
manchester,2022,3,7.687096774193549,44.5
manchester,2022,4,9.05,49.4
manchester,2022,5,12.80967741935484,81.2
manchester,2022,6,14.94,57.7
manchester,2022,7,17.54516129032258,86.6
manchester,2022,8,17.91290322580645,61.2
manchester,2022,9,14.013333333333332,76.0
manchester,2022,10,12.600000000000001,147.5
manchester,2022,11,9.013333333333332,124.2
manchester,2022,12,3.6322580645161286,89.9
manchester,2023,1,5.054838709677419,115.2
manchester,2023,2,6.446428571428571,26.2
manchester,2023,3,6.748387096774193,145.6
manchester,2023,4,8.48,77.8
manchester,2023,5,12.661290322580646,57.8
manchester,2023,6,17.123333333333335,47.8
manchester,2023,7,15.564516129032258,199.0
manchester,2023,8,15.761290322580646,133.9
manchester,2023,9,16.263333333333332,120.3
manchester,2023,10,11.62258064516129,160.3
manchester,2023,11,6.933333333333334,106.3
manchester,2023,12,6.725806451612903,169.1
manchester,2024,1,4.580645161290323,105.2
manchester,2024,2,7.13448275862069,158.8
manchester,2024,3,7.606451612903226,116.60000000000001
manchester,2024,4,9.203333333333335,132.2
manchester,2024,5,14.074193548387097,118.3
manchester,2024,6,13.676666666666668,65.1
manchester,2024,7,15.709677419354838,107.3
manchester,2024,8,16.206451612903226,87.0
manchester,2024,9,13.46,120.7
manchester,2024,10,11.37741935483871,101.39999999999999
manchester,2024,11,7.176666666666667,64.2
manchester,2024,12,7.403225806451613,136.3
